age,gender,region,customer_type,plan_type,plan_tier,monthly_fee_€,contract_length_months,auto_renewal,subscription_status,avg_monthly_data_gb,avg_monthly_voice_minutes,sms_per_month,roaming_last_3m,loyalty_member,app_logins_per_month,dropped_calls_last_month,avg_download_speed_mbps,coverage_complaints_6m,csat_score,payment_method,on_time_payments,late_payments_6m,outstanding_balance_€,discount_last_renewal,downgraded_last_6m,last_offer_accepted,campaign_ctr,support_tickets_6m,avg_resolution_time_hrs,email_open_rate,nps_score,tenure_days
41,Female,Galway,Individual,Postpay,Unlimited,99,24,Yes,Active,86.2,1125,119,No,No,21,17,87.6,1,4,Debit Card,Yes,4,344.02,No,No,No,0.33,0,48.1,0.92,81,720
53,Female,Galway,Individual,SIM-only,Essentials,38,12,No,Active,70.2,885,104,No,Yes,8,6,70.6,2,5,Debit Card,No,3,326.0,No,No,No,0.17,0,64.7,0.72,37,360
57,Male,Dublin,Individual,Postpay,Essentials,60,0,No,Active,54.4,2841,161,Yes,Yes,26,15,277.2,1,5,Credit Card,Yes,0,300.56,No,No,No,0.61,4,18.9,0.8,24,134
41,Female,Dublin,Individual,Prepay,Freedom,58,1,Yes,Active,83.9,2469,294,Yes,No,22,7,222.6,3,1,Credit Card,No,0,462.41,Yes,No,Yes,0.25,1,59.3,0.58,52,30
20,Female,Dublin,Individual,Postpay,Freedom,52,1,Yes,Active,44.8,1987,40,Yes,No,4,11,95.5,0,5,Credit Card,Yes,4,114.26,No,No,No,0.21,2,27.8,0.66,-83,30
39,Female,Dublin,Individual,Prepay,Unlimited,81,1,No,Active,23.4,774,376,Yes,No,27,13,229.2,3,5,Debit Card,Yes,4,246.86,No,No,No,0.48,3,58.7,0.39,-37,30
19,Male,Dublin,Family,Prepay,Freedom,96,1,Yes,Active,32.1,2525,363,No,No,12,18,7.6,3,3,Credit Card,No,3,442.0,Yes,No,No,0.27,2,36.1,0.68,-22,30
41,Male,Other,Individual,Prepay,Essentials,14,12,Yes,Active,53.0,925,164,No,Yes,18,10,158.4,3,5,Direct Debit,No,2,38.95,No,No,No,0.22,2,61.9,0.98,-42,360
61,Male,Cork,Family,Prepay,Unlimited,51,1,Yes,Active,55.5,119,320,Yes,No,27,11,75.9,3,2,Credit Card,Yes,1,27.94,No,No,No,0.19,2,64.5,0.65,54,30
47,Male,Dublin,Family,Postpay,Freedom,16,0,Yes,Active,81.5,1938,373,No,Yes,27,12,35.2,1,2,Direct Debit,Yes,1,116.65,No,No,No,0.57,3,43.4,0.34,-43,65
55,Female,Dublin,Individual,Postpay,Essentials,51,12,Yes,Active,80.2,487,334,No,No,23,7,265.2,4,2,Credit Card,Yes,1,316.51,No,Yes,No,0.06,2,37.0,0.29,-40,360
19,Female,Cork,Individual,SIM-only,Freedom,45,24,No,Active,60.2,2125,159,No,Yes,9,0,60.6,1,1,Credit Card,No,2,129.94,Yes,No,No,0.52,2,56.6,0.96,17,720
38,Male,Galway,Individual,Postpay,Freedom,36,12,Yes,Active,79.2,440,263,No,Yes,19,8,246.9,2,4,Credit Card,Yes,3,95.12,No,No,No,0.37,1,20.0,0.19,-22,360
50,Other,Cork,Family,Postpay,Freedom,67,1,Yes,Active,23.2,461,352,No,Yes,24,1,124.6,3,3,Direct Debit,Yes,1,229.4,No,No,No,0.44,1,2.1,0.81,-30,30
29,Female,Other,Individual,Prepay,Freedom,55,24,Yes,Active,9.8,611,17,Yes,Yes,20,13,5.3,2,1,Debit Card,Yes,0,306.8,No,No,No,0.1,1,29.9,0.47,70,720
39,Male,Cork,Individual,Prepay,Unlimited,75,24,Yes,Active,88.0,1317,172,No,Yes,13,12,220.0,1,4,Credit Card,Yes,0,124.28,No,No,No,0.43,0,37.1,0.44,-13,720
61,Male,Other,Individual,Postpay,Unlimited,34,1,Yes,Active,12.2,1659,476,Yes,Yes,21,15,179.3,3,3,Credit Card,No,0,150.35,Yes,No,Yes,0.31,2,22.1,0.75,-14,30
42,Male,Other,Individual,Postpay,Freedom,82,0,Yes,Active,28.4,916,351,No,Yes,20,1,103.9,1,3,Credit Card,Yes,4,306.78,Yes,No,No,0.19,4,28.2,0.15,38,95
66,Male,Dublin,Individual,Postpay,Essentials,36,12,Yes,Active,71.1,2656,32,No,Yes,25,3,85.2,3,3,Debit Card,Yes,4,472.87,Yes,Yes,No,0.58,4,10.4,0.47,-13,360
44,Male,Other,Individual,Prepay,Unlimited,10,24,Yes,Active,43.9,5,260,No,Yes,11,11,23.0,1,2,Credit Card,Yes,2,337.37,No,No,No,0.25,4,20.7,0.04,32,720
59,Male,Dublin,Family,Prepay,Freedom,96,24,Yes,Active,88.2,680,209,No,Yes,10,15,282.5,0,2,Debit Card,Yes,1,391.45,Yes,No,No,0.38,3,18.0,0.67,85,720
45,Male,Other,Individual,Postpay,Freedom,83,24,Yes,Active,33.3,2942,495,No,Yes,22,9,148.7,4,2,Debit Card,Yes,4,183.41,No,No,No,0.34,1,22.4,0.06,-62,720
33,Male,Dublin,Individual,Prepay,Freedom,51,12,Yes,Active,6.1,2318,382,Yes,Yes,6,2,26.6,4,3,Direct Debit,No,0,136.13,Yes,No,No,0.1,1,22.2,0.09,75,360
32,Female,Other,Individual,Prepay,Unlimited,61,12,Yes,Active,33.6,1643,329,No,No,16,3,260.7,3,3,Debit Card,Yes,4,227.13,No,No,No,0.42,1,40.7,0.84,-21,360
64,Male,Other,Family,Postpay,Freedom,34,0,No,Active,59.9,2858,381,No,No,17,5,84.4,0,2,Credit Card,Yes,0,403.57,Yes,No,No,0.33,3,18.8,0.44,-81,214
68,Female,Other,Individual,Prepay,Essentials,63,1,Yes,Cancelled,40.7,2606,163,No,Yes,6,4,61.9,2,3,Direct Debit,Yes,1,228.15,No,Yes,Yes,0.14,2,67.8,0.2,-20,30
61,Male,Galway,Family,Postpay,Freedom,76,1,Yes,Active,55.8,98,480,Yes,No,23,17,85.0,0,2,Credit Card,Yes,2,423.36,No,No,No,0.2,0,37.3,0.59,-82,30
69,Other,Dublin,Individual,Prepay,Unlimited,15,12,Yes,Active,88.3,525,406,No,No,19,2,169.8,3,2,Credit Card,Yes,3,494.39,No,No,No,0.06,1,10.2,0.52,87,360
20,Male,Dublin,Individual,Prepay,Essentials,67,12,Yes,Cancelled,91.7,2241,423,No,Yes,5,9,23.1,0,2,Direct Debit,Yes,3,36.01,No,No,Yes,0.42,2,20.9,0.41,53,360
54,Male,Cork,Individual,Prepay,Unlimited,79,12,No,Active,30.3,1180,4,No,No,10,10,145.0,2,4,Credit Card,Yes,0,22.71,Yes,No,No,0.19,4,52.8,0.91,52,360
68,Other,Dublin,Individual,Postpay,Freedom,62,1,Yes,Active,48.9,1689,33,No,Yes,11,18,268.8,3,3,Credit Card,Yes,4,74.79,Yes,Yes,No,0.16,0,2.0,0.75,42,30
24,Female,Galway,Individual,Prepay,Freedom,75,12,Yes,Active,57.2,1138,279,No,Yes,25,13,57.3,4,1,Credit Card,No,4,192.18,No,No,No,0.27,4,67.6,0.15,48,360
38,Female,Dublin,Individual,Postpay,Essentials,67,0,Yes,Active,95.2,395,144,No,Yes,15,10,100.0,0,2,Credit Card,Yes,0,65.52,No,No,No,0.27,2,32.6,0.57,74,219
26,Male,Other,Family,Prepay,Essentials,91,1,Yes,Active,99.9,769,350,No,Yes,18,3,119.4,4,1,Credit Card,Yes,1,435.33,Yes,No,No,0.2,2,38.0,0.09,62,30
56,Male,Galway,Individual,Postpay,Unlimited,96,12,No,Cancelled,27.4,1826,70,No,No,22,5,176.3,4,4,Credit Card,Yes,0,11.57,No,Yes,No,0.14,4,71.2,0.24,71,360
35,Female,Other,Individual,Prepay,Essentials,11,12,Yes,Active,74.1,1545,464,No,Yes,26,16,275.9,1,3,Credit Card,Yes,1,157.9,No,No,No,0.15,0,36.7,0.91,33,360
21,Female,Dublin,Individual,Postpay,Freedom,85,24,Yes,Active,40.9,2927,347,Yes,Yes,18,18,119.0,2,2,Direct Debit,Yes,2,92.35,Yes,Yes,No,0.17,4,68.3,0.46,15,720
42,Female,Other,Individual,Postpay,Freedom,31,1,Yes,Active,5.8,2792,229,Yes,Yes,10,12,21.7,0,2,Debit Card,Yes,2,465.77,Yes,No,No,0.06,4,66.0,0.89,0,30
31,Female,Other,Individual,SIM-only,Essentials,46,1,Yes,Active,5.9,682,124,No,No,15,9,105.0,4,2,Debit Card,Yes,0,334.74,No,No,No,0.24,4,67.8,0.17,50,30
67,Male,Cork,Individual,Prepay,Essentials,29,1,No,Active,48.8,1556,277,Yes,No,22,10,57.8,4,1,Debit Card,No,2,456.02,Yes,No,Yes,0.27,0,58.7,0.21,-62,30
26,Female,Galway,Individual,Prepay,Freedom,33,1,Yes,Cancelled,51.4,14,270,No,No,27,5,195.9,2,4,Direct Debit,Yes,4,486.16,Yes,No,Yes,0.41,3,22.0,0.35,100,30
43,Male,Galway,Individual,Prepay,Unlimited,93,24,Yes,Cancelled,7.1,2415,356,Yes,Yes,26,1,9.7,4,3,Direct Debit,Yes,1,248.55,Yes,No,Yes,0.24,0,25.6,0.37,45,720
19,Male,Dublin,Individual,Postpay,Freedom,74,12,Yes,Active,70.3,2685,14,No,Yes,11,0,88.3,4,4,Direct Debit,Yes,3,117.16,Yes,No,No,0.21,4,26.9,0.75,67,360
37,Male,Cork,Individual,Postpay,Freedom,74,24,Yes,Cancelled,32.9,2900,241,Yes,Yes,26,10,164.0,4,2,Direct Debit,Yes,3,96.86,No,No,No,0.6,1,70.5,0.6,-65,720
45,Female,Dublin,Individual,Postpay,Freedom,90,1,Yes,Active,58.2,1236,497,No,Yes,7,15,83.9,4,4,Credit Card,No,2,111.46,Yes,No,Yes,0.24,1,26.6,0.55,55,30
64,Male,Dublin,Individual,Prepay,Freedom,10,24,Yes,Active,33.6,2747,152,No,Yes,2,2,165.7,1,1,Debit Card,Yes,1,354.3,Yes,No,Yes,0.25,2,8.7,0.6,91,720
24,Male,Dublin,Business,Prepay,Freedom,12,0,Yes,Active,20.9,4,52,No,Yes,1,4,35.3,1,5,Debit Card,Yes,4,20.22,No,No,No,0.24,3,56.3,0.73,-18,184
61,Female,Dublin,Individual,Prepay,Unlimited,55,24,Yes,Active,43.7,2278,148,No,Yes,27,14,282.9,3,5,Debit Card,No,3,25.68,Yes,No,No,0.17,2,27.0,0.89,-7,720
25,Male,Dublin,Individual,SIM-only,Freedom,64,1,Yes,Active,27.1,1908,357,Yes,No,5,14,88.0,0,3,Credit Card,Yes,4,304.07,Yes,Yes,Yes,0.3,2,45.1,0.41,85,30
64,Female,Dublin,Individual,Postpay,Freedom,84,1,No,Active,55.8,1425,449,Yes,No,15,3,277.0,2,3,Credit Card,Yes,4,321.03,No,No,Yes,0.23,1,66.6,0.8,65,30
52,Male,Other,Family,SIM-only,Essentials,97,12,Yes,Active,23.9,1607,218,No,Yes,19,3,98.4,3,4,Credit Card,Yes,3,332.63,No,No,Yes,0.26,0,41.9,0.5,71,360
31,Female,Cork,Family,Prepay,Unlimited,95,24,Yes,Active,53.3,2633,112,No,Yes,23,7,234.8,1,3,Direct Debit,Yes,3,185.94,No,No,No,0.11,2,46.3,0.72,-99,720
34,Female,Other,Individual,Postpay,Essentials,73,0,Yes,Active,20.0,168,287,No,Yes,28,6,74.6,1,1,Debit Card,Yes,2,402.97,Yes,No,Yes,0.35,2,46.6,0.87,-28,256
53,Male,Cork,Business,Postpay,Essentials,54,1,Yes,Cancelled,68.7,2808,276,No,No,14,16,201.3,1,2,Credit Card,Yes,1,266.81,No,Yes,No,0.1,3,44.5,0.03,-66,30
67,Male,Dublin,Individual,Prepay,Freedom,35,24,Yes,Active,76.6,791,451,No,No,13,14,97.8,3,2,Credit Card,Yes,0,52.73,No,No,No,0.25,1,12.3,0.55,28,720
57,Male,Cork,Individual,Postpay,Freedom,86,1,No,Active,15.5,999,427,Yes,No,1,4,153.2,1,4,Debit Card,Yes,1,398.55,No,No,No,0.49,0,33.4,0.99,73,30
21,Male,Cork,Family,SIM-only,Freedom,74,0,Yes,Active,49.4,151,82,No,Yes,19,12,202.5,3,2,Credit Card,No,0,476.53,Yes,No,Yes,0.73,3,1.5,0.5,87,170
19,Other,Dublin,Family,Postpay,Freedom,33,1,Yes,Active,11.7,2271,449,No,No,17,3,177.1,1,4,Credit Card,Yes,3,30.02,Yes,Yes,No,0.34,0,45.5,0.86,-38,30
23,Male,Galway,Individual,Postpay,Freedom,83,1,Yes,Active,61.8,503,217,No,Yes,13,16,173.3,4,3,Credit Card,Yes,4,195.68,No,Yes,No,0.02,0,41.9,0.19,-6,30
59,Female,Dublin,Individual,Prepay,Essentials,44,24,Yes,Active,30.1,1573,225,No,No,17,16,20.6,4,3,Credit Card,Yes,1,243.76,No,Yes,No,0.37,2,23.6,0.6,-56,720
21,Male,Galway,Individual,Prepay,Unlimited,33,12,Yes,Active,55.1,2091,269,Yes,No,1,13,75.5,0,1,Credit Card,Yes,4,73.24,No,No,Yes,0.57,3,38.2,0.87,24,360
46,Female,Galway,Individual,SIM-only,Freedom,37,12,No,Active,54.2,2744,14,No,No,0,13,172.0,1,2,Debit Card,Yes,1,433.85,Yes,No,No,0.4,2,36.0,0.43,84,360
35,Female,Dublin,Family,Prepay,Freedom,89,24,Yes,Active,92.8,503,403,Yes,Yes,19,16,6.5,0,1,Credit Card,Yes,5,142.07,Yes,Yes,No,0.45,4,18.8,0.49,-64,720
43,Female,Dublin,Individual,Postpay,Freedom,25,1,Yes,Active,57.2,2977,289,No,No,1,7,75.9,3,5,Credit Card,Yes,1,391.5,No,No,Yes,0.16,0,21.8,0.08,-94,30
61,Male,Galway,Individual,Postpay,Essentials,68,0,Yes,Active,60.4,842,419,No,Yes,8,1,69.5,0,1,Debit Card,Yes,4,335.5,No,No,No,0.25,3,55.1,0.04,9,105
51,Male,Cork,Individual,Postpay,Freedom,90,1,Yes,Active,43.2,350,338,No,Yes,8,12,75.7,1,4,Debit Card,Yes,5,299.02,Yes,No,No,0.25,1,54.7,0.47,43,30
27,Male,Dublin,Individual,SIM-only,Freedom,63,1,Yes,Active,95.2,2070,264,No,Yes,15,15,161.1,3,4,Credit Card,Yes,2,96.07,Yes,No,No,0.25,2,34.4,0.84,77,30
53,Female,Other,Individual,Prepay,Freedom,88,0,Yes,Active,78.8,1659,198,Yes,Yes,10,15,175.0,3,1,Debit Card,Yes,3,110.35,No,No,Yes,0.29,4,51.9,0.93,41,175
31,Female,Dublin,Individual,Prepay,Freedom,25,24,Yes,Active,32.1,597,157,No,Yes,26,5,272.8,4,3,Direct Debit,Yes,2,23.67,No,No,Yes,0.06,4,33.0,0.66,33,720
48,Other,Galway,Business,Prepay,Unlimited,24,12,Yes,Cancelled,85.2,1066,332,No,Yes,22,3,116.4,3,5,Direct Debit,Yes,2,120.36,No,Yes,No,0.42,4,61.4,0.83,88,360
65,Male,Other,Family,Postpay,Freedom,20,1,Yes,Active,46.1,2513,474,No,Yes,5,2,278.0,3,1,Debit Card,Yes,1,172.72,No,No,No,0.49,2,24.6,0.73,48,30
32,Female,Dublin,Individual,Prepay,Unlimited,74,12,Yes,Active,83.7,39,446,Yes,Yes,11,5,195.9,0,3,Debit Card,No,3,416.57,No,No,No,0.09,1,66.8,0.7,37,360
25,Female,Dublin,Family,Prepay,Freedom,88,12,Yes,Active,83.2,2350,491,Yes,Yes,2,3,273.9,3,1,Credit Card,Yes,5,183.2,Yes,No,No,0.22,3,39.5,0.77,-69,360
31,Male,Dublin,Family,Postpay,Essentials,99,24,Yes,Active,22.9,174,418,Yes,Yes,29,17,250.2,2,2,Debit Card,Yes,1,377.31,No,Yes,No,0.37,0,39.0,0.51,33,720
40,Male,Dublin,Family,SIM-only,Essentials,77,24,Yes,Active,71.6,998,396,No,Yes,11,5,206.6,4,4,Debit Card,No,0,219.72,No,No,No,0.11,1,48.6,0.46,-99,720
57,Female,Dublin,Individual,Prepay,Freedom,52,12,Yes,Cancelled,32.6,1484,206,Yes,Yes,29,4,107.5,4,2,Credit Card,Yes,1,392.43,No,No,Yes,0.07,2,25.2,0.16,-62,360
38,Female,Galway,Individual,Prepay,Essentials,78,12,Yes,Cancelled,33.3,2668,173,No,Yes,22,8,73.1,3,2,Credit Card,Yes,5,488.14,No,No,No,0.32,3,52.4,0.84,-52,360
33,Female,Dublin,Individual,SIM-only,Essentials,22,12,No,Active,33.2,1216,183,No,No,0,10,67.5,0,5,Debit Card,Yes,4,119.92,Yes,No,No,0.25,0,23.8,0.04,-74,360
62,Male,Cork,Individual,Prepay,Unlimited,19,12,Yes,Active,73.9,2291,264,No,Yes,8,5,285.7,4,3,Direct Debit,No,1,431.17,No,No,No,0.48,3,29.2,0.27,-45,360
35,Female,Other,Individual,Prepay,Unlimited,84,0,Yes,Active,26.8,835,492,No,No,19,15,287.6,4,4,Credit Card,Yes,0,310.91,No,Yes,Yes,0.16,0,48.9,0.52,-87,67
64,Male,Other,Individual,Prepay,Freedom,91,0,Yes,Active,5.1,2327,470,Yes,Yes,21,18,217.7,2,2,Credit Card,Yes,1,408.65,No,No,Yes,0.29,0,27.9,0.97,50,291
41,Male,Galway,Individual,Postpay,Essentials,50,12,Yes,Active,72.9,1059,245,No,No,5,10,265.3,3,4,Debit Card,No,5,325.79,Yes,No,Yes,0.31,4,15.2,0.79,2,360
43,Male,Dublin,Family,Prepay,Essentials,59,1,Yes,Active,21.3,2604,35,No,Yes,10,14,275.8,4,3,Credit Card,Yes,0,211.97,No,No,No,0.17,2,62.9,0.37,17,30
42,Female,Galway,Individual,SIM-only,Essentials,96,0,Yes,Active,14.9,897,372,No,Yes,2,8,154.0,4,1,Debit Card,Yes,3,114.04,No,No,No,0.32,1,66.5,0.71,21,155
62,Female,Cork,Individual,Postpay,Freedom,80,12,Yes,Active,27.6,1563,487,No,Yes,3,18,189.1,4,2,Credit Card,Yes,5,35.02,Yes,No,Yes,0.2,4,45.5,0.93,4,360
58,Female,Cork,Business,Postpay,Unlimited,68,0,Yes,Active,41.1,1046,258,Yes,Yes,28,18,126.2,4,3,Credit Card,Yes,1,267.76,Yes,No,Yes,0.33,4,58.6,0.54,78,121
46,Male,Dublin,Business,Prepay,Freedom,48,12,Yes,Active,50.2,2766,481,No,No,26,8,126.1,0,4,Debit Card,No,0,495.16,No,Yes,Yes,0.36,3,71.1,0.46,-76,360
32,Female,Other,Family,Postpay,Essentials,12,12,No,Active,9.2,931,18,No,Yes,9,3,12.5,1,3,Credit Card,Yes,5,369.02,No,No,No,0.15,0,44.6,0.55,-48,360
62,Male,Cork,Business,Postpay,Freedom,85,24,Yes,Active,97.2,2138,411,No,Yes,18,9,130.7,2,1,Credit Card,Yes,3,163.67,Yes,No,Yes,0.41,0,65.5,0.31,-90,720
18,Female,Dublin,Individual,Postpay,Freedom,16,1,Yes,Cancelled,73.0,2437,22,Yes,No,28,8,202.4,0,3,Credit Card,Yes,4,413.6,No,Yes,No,0.12,3,26.5,0.91,62,30
42,Male,Dublin,Business,Postpay,Freedom,58,0,Yes,Active,35.7,2597,103,Yes,Yes,5,18,127.2,2,4,Credit Card,Yes,2,384.49,No,No,No,0.25,2,50.7,0.8,82,313
24,Male,Cork,Individual,Postpay,Freedom,35,12,Yes,Active,35.3,2978,240,No,Yes,0,14,261.9,4,2,Debit Card,Yes,0,140.82,No,Yes,No,0.35,0,5.0,0.71,85,360
26,Male,Other,Individual,SIM-only,Freedom,42,24,Yes,Active,47.6,1251,492,No,Yes,7,18,100.4,2,2,Debit Card,Yes,4,7.15,Yes,No,No,0.27,4,57.0,0.59,95,720
41,Male,Galway,Individual,Postpay,Essentials,57,24,Yes,Active,64.5,1225,390,No,Yes,7,1,40.7,3,5,Credit Card,Yes,3,59.08,No,No,No,0.13,4,59.9,0.97,-64,720
18,Female,Galway,Individual,Postpay,Essentials,88,1,Yes,Active,18.9,1373,360,No,No,24,9,243.7,3,4,Credit Card,Yes,4,438.65,Yes,No,No,0.33,0,29.5,0.3,-92,30
61,Female,Dublin,Individual,Prepay,Unlimited,11,1,Yes,Active,22.9,1061,203,No,No,5,18,202.5,1,5,Credit Card,No,1,418.28,Yes,No,No,0.27,0,46.4,0.28,-73,30
25,Male,Cork,Individual,Prepay,Essentials,80,24,No,Cancelled,86.6,2780,252,Yes,No,16,16,73.3,1,5,Debit Card,Yes,2,147.6,Yes,Yes,No,0.27,2,61.9,0.24,-46,720
41,Female,Cork,Family,Prepay,Essentials,41,0,No,Active,29.3,499,141,Yes,No,18,19,161.4,2,1,Credit Card,Yes,0,142.6,No,No,No,0.47,0,63.7,0.74,73,290
28,Male,Dublin,Individual,Postpay,Essentials,13,12,Yes,Active,41.1,1722,301,No,Yes,0,1,121.2,0,4,Direct Debit,No,5,396.43,Yes,No,No,0.25,2,8.6,0.8,26,360
68,Female,Dublin,Individual,Postpay,Essentials,29,1,Yes,Active,87.8,2918,142,No,Yes,14,18,281.7,0,2,Debit Card,Yes,3,468.87,Yes,No,No,0.27,4,59.8,0.6,-31,30
34,Female,Galway,Family,Postpay,Freedom,45,0,Yes,Cancelled,68.0,2564,450,No,Yes,12,16,182.6,4,4,Debit Card,No,2,389.57,Yes,No,No,0.26,2,20.5,0.65,-74,137
25,Female,Dublin,Individual,Postpay,Unlimited,41,1,Yes,Active,37.5,2115,270,No,No,20,17,48.4,0,1,Debit Card,Yes,3,302.79,No,No,No,0.54,0,52.6,0.35,-91,30
52,Male,Cork,Individual,Postpay,Freedom,37,1,Yes,Cancelled,70.0,1763,306,No,No,2,16,151.1,1,4,Direct Debit,Yes,4,121.34,No,Yes,No,0.23,1,24.1,0.04,50,30
52,Female,Dublin,Individual,SIM-only,Freedom,86,12,Yes,Cancelled,6.9,2170,471,No,Yes,29,1,258.9,0,4,Direct Debit,Yes,3,262.87,No,No,Yes,0.32,0,5.0,0.25,48,360
50,Female,Dublin,Individual,Prepay,Freedom,10,24,No,Active,74.9,1708,499,Yes,Yes,1,18,201.8,4,5,Debit Card,Yes,3,116.76,Yes,No,No,0.0,1,15.9,0.58,72,720
22,Male,Dublin,Individual,Postpay,Freedom,69,1,Yes,Active,51.3,335,109,Yes,No,2,0,252.9,3,4,Credit Card,Yes,4,404.01,Yes,No,No,0.01,4,30.0,0.81,25,30
59,Male,Other,Business,Prepay,Unlimited,65,24,Yes,Cancelled,82.3,1176,7,No,Yes,8,10,75.9,0,5,Direct Debit,Yes,4,193.48,Yes,Yes,No,0.55,3,53.6,0.78,-98,720
56,Female,Other,Individual,Prepay,Unlimited,44,0,Yes,Active,95.7,778,68,No,No,26,9,266.6,0,5,Credit Card,Yes,2,416.85,No,No,No,0.15,4,8.1,0.18,86,74
58,Female,Other,Individual,Prepay,Essentials,39,12,No,Active,92.9,1185,189,No,Yes,15,4,226.9,1,3,Direct Debit,Yes,0,190.8,Yes,Yes,Yes,0.55,4,58.7,0.05,-58,360
45,Female,Cork,Family,Prepay,Freedom,63,0,Yes,Active,91.4,1933,178,Yes,Yes,23,15,218.9,2,1,Debit Card,No,4,412.07,Yes,No,No,0.33,4,71.8,0.85,-2,31
24,Female,Dublin,Family,Postpay,Freedom,45,24,Yes,Active,53.7,1466,62,Yes,Yes,12,4,104.6,3,5,Direct Debit,Yes,2,166.66,No,No,No,0.12,2,57.0,0.08,-94,720
26,Female,Cork,Individual,Postpay,Unlimited,64,12,Yes,Active,39.2,2470,67,No,No,18,11,266.4,2,4,Direct Debit,No,3,220.07,Yes,Yes,Yes,0.15,4,34.6,0.39,54,360
25,Male,Cork,Individual,Prepay,Freedom,98,12,No,Active,49.2,1561,205,No,Yes,26,3,191.8,4,5,Credit Card,Yes,3,307.74,Yes,Yes,No,0.36,3,41.3,0.09,89,360
29,Male,Other,Individual,Postpay,Unlimited,89,24,Yes,Active,70.5,938,399,No,Yes,17,5,255.7,4,5,Debit Card,Yes,5,35.14,Yes,No,Yes,0.46,0,1.4,0.56,-59,720
51,Male,Dublin,Individual,Postpay,Freedom,67,12,No,Active,89.0,803,467,No,No,20,18,108.9,2,5,Credit Card,Yes,1,474.1,Yes,No,Yes,0.13,1,15.9,0.36,-4,360
50,Female,Cork,Individual,Prepay,Essentials,92,24,Yes,Active,24.7,1935,407,No,No,11,8,44.5,1,2,Credit Card,Yes,4,286.8,No,Yes,Yes,0.24,4,64.8,0.2,-97,720
65,Male,Dublin,Individual,Postpay,Freedom,74,12,Yes,Cancelled,92.2,633,5,Yes,No,27,11,100.4,1,2,Credit Card,Yes,2,253.91,No,No,No,0.18,1,2.5,0.6,89,360
40,Female,Dublin,Business,Prepay,Unlimited,78,24,Yes,Active,82.4,1253,118,Yes,Yes,28,14,137.1,1,2,Credit Card,Yes,5,419.7,Yes,No,No,0.23,4,65.2,0.36,35,720
41,Female,Galway,Individual,Postpay,Unlimited,60,12,Yes,Active,98.0,1082,312,No,No,11,15,160.5,3,2,Debit Card,Yes,2,432.88,Yes,No,Yes,0.09,2,9.0,0.17,-17,360
